Address,Annual Flow,Average Hours Per Week,City,Coal,Comments,District Cool,District Heat,Electricity,Emission Factor1,Emission Factor2,Energy Intensity (ekWh/Mega Litres),Energy Intensity (ekWh/sqft),Fuel Oil 1 & 2,Fuel Oil 4 & 6,GHG Emissions (Kg),Natural Gas,Operation Name,Operation Type,Postal Code,Propane,Renewable1,Renewable2,Total Floor Area,Unit1,Unit10,Unit2,Unit3,Unit4,Unit5,Unit6,Unit7,Unit8,Unit9,Wood,year
391 SOUTH STREET,0.0,168,LONDON,,,,,0.25000,,,0.00000,0.00001,,,0.01014,,COLBORNE BUILDING (OLD SOUTH ST HOSPITAL),Other,N6B 1B8,,,,"26,225.00",Square feet,,kWh,,,,,,,,,2015
999 GABOR ST,71.19,168,LONDON,,,,,"17,688.29897",,,248.46606,0.00000,,,717.22515,,CRESTWOOD PUMP STN,Facilities related to the pumping of water,N6K4V5,,,,0.00,Square feet,,kWh,,,,,,,,,2015
710 SOUTHDALE RD E,0.0,168,LONDON,,,,,"3,744,437.85000",,,0.00000,20.05978,,,"151,829.46594",,DEARNESS HOME,Other,N6E 1R8,,,,"186,664.00",Square feet,,kWh,,,,,,,,,2015
710 SOUTHDALE RD E,0.0,168,LONDON,,,,,,,,0.00000,34.36510,,,"1,141,147.15865","603,581.32971",DEARNESS NG TRANSP,Other,N6E 1R8,,,,"186,664.00",Square feet,,,Cubic Meter,,,,,,,,2015
3506 DINGMAN DR,0.14,126,LONDON,,,,,"208,357.47161",,,"1,488,267.65437",0.00000,,,"8,448.47876",,DINGMAN CREEK PUMP STN,Facilities related to the pumping of sewage,N6E 3X1,,,,0.00,,,kWh,,,,,,,,,2015
1731 CHURCHILL AVE,0.0,126,LONDON,,,,,"101,732.69751",,,0.00000,62.87288,,,"60,763.91400","29,957.71063",EAST LIONS ARTISANS CC  & POOL,Community centres,N5W 5P4,,,,"6,682.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
1731 CHURCHILL AVE,0.0,168,LONDON,,,,,12.93068,,,0.00000,0.00349,,,0.52431,,EAST LIONS PARK-POOL,Other,N5W 5P4,,,,"3,700.00",Square feet,,kWh,,,,,,,,,2015
1313 HAMILTON RD,496.03,168,LONDON,,,,,"84,634.08419",,,170.62291,36.16841,,,"3,431.74285",,EAST PARK PUMP STN,Facilities related to the pumping of sewage,N5W 1B1,,,,"2,340.00",Square feet,,kWh,,,,,,,,,2015
449 BARKER ST,0.0,60,LONDON,,,,,"11,284.32290",,,0.00000,10.79840,,,457.55673,,ED BLAKE PK,Other,N5Y 5B2,,,,"1,045.00",Square feet,,kWh,,,,,,,,,2015
"520 WELLINGTON ST UN 1,2,3",0.0,126,LONDON,,,,,"26,654.34182",,,0.00000,9.45525,,,"1,080.78025",,ENVIRO PROGS - RENTAL,"Administrative offices and related facilities, including municipal council chambers",N6A 3R2,,,,"2,819.00",Square feet,,kWh,,,,,,,,,2015
101 WINDERMERE RD,0.0,168,LONDON,,,,,"22,272.38879",,,0.00000,13.69337,,,"19,668.64559","9,925.56690",EP WILLIAMS ESTATE,Cultural facilities,N6G 2J4,,,,"9,330.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
157 WINSTON AVE,8.53,126,LONDON,,,,,"46,417.39875",,,"5,441.66457",89.26423,,,"1,882.13268",,EUSTON ST FAN HOUSE PUMP STN,Facilities related to the pumping of sewage,N6J 1R7,,,,520.00,Square feet,,kWh,,,,,,,,,2015
707 EXETER RD,0.0,168,LONDON,,,,,"716,508.22411",,,0.00000,24.88610,,,"154,377.84077","66,287.46194",EXETER RD OC,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N6E 1L3,,,,"57,100.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
2835 SUNNINGDALE RD E,0.0,168,LONDON,,,,,"243,688.20578",,,0.00000,21.49874,,,"9,881.06937",,FANSHAWE GOLF COURSE-MAIN CLUBHOUSE,Other,N5X 3Y7,,,,"11,335.00",Square feet,,kWh,,,,,,,,,2015
2835 SUNNINGDALE RD E,0.0,168,LONDON,,,,,"41,657.48638",,,0.00000,14.87767,,,"1,689.12776",,FANSHAWE GOLF COURSE-MTCE BLDG,Other,N5X 3Y7,,,,"2,800.00",Square feet,,kWh,,,,,,,,,2015
2835 SUNNINGDALE RD E,0.0,168,LONDON,,,,,"2,044.52729",,,0.00000,1.16166,,,82.90149,,FANSHAWE GOLF COURSE-PARKSIDE NINE,Other,N5X 3Y7,,,,"1,760.00",Square feet,,kWh,,,,,,,,,2015
2835 SUNNINGDALE RD E,0.0,168,LONDON,,,,,"58,131.60000",,,0.00000,20.76129,,,"2,357.12012",,FANSHAWE GOLF COURSE-SPREADER PUMP ,Other,N5X 3Y7,,,,"2,800.00",Square feet,,kWh,,,,,,,,,2015
2835 CLARKE RD,1.1,126,LONDON,,,,,"73,524.41637",,,"66,840.37852",0.00000,,,"2,981.26804",,FANSHAWE WELLS,Facilities related to the pumping of water,N5X 3Y7,,,,0.00,Square feet,,kWh,,,,,,,,,2015
411 TECUMSEH AVE E,0.0,168,LONDON,,,,,"610,142.78639",,,0.00000,24.84744,,,"86,700.38227","32,772.36206",FARQUHARSON ARENA,Indoor ice rinks,N6C 1T4,,,,"38,573.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
733 WINDERMERE RD,0.0,168,LONDON,,,,,"1,901.38067",,,0.00000,2.93876,,,77.09718,,FIDO PARK FIELD HOUSE,Other,N5X 3P1,,,,647.00,Square feet,,kWh,,,,,,,,,2015
400 HORTON ST E,0.0,168,LONDON,,,,,"355,623.37146",,,0.00000,24.34562,,,"93,805.10068","41,988.86624",FIRE HALL # 01,Fire stations and associated offices and facilities,N6B 1L7,,,,"32,937.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
1103 FLORENCE ST,0.0,168,LONDON,,,,,"400,252.36364",,,0.00000,39.17559,,,"117,164.27337","53,386.96662",FIRE HALL # 02,Fire stations and associated offices and facilities,N5W 2M7,,,,"24,700.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
550 COMMISSIONERS RD W,0.0,168,LONDON,,,,,"71,279.51007",,,0.00000,34.18341,,,"39,174.61648","19,191.71519",FIRE HALL # 03,Fire stations and associated offices and facilities,N6K 1B7,,,,"8,052.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
807 COLBORNE ST,0.0,168,LONDON,,,,,"65,163.17753",,,0.00000,34.33375,,,"18,034.29287","8,141.24433",FIRE HALL # 04,Fire stations and associated offices and facilities,N6A 3Z8,,,,"4,418.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
751 DEVERON CRES,0.0,168,LONDON,,,,,"84,706.55997",,,0.00000,25.87725,,,"25,745.67531","11,800.84370",FIRE HALL # 05,Fire stations and associated offices and facilities,N5Z 5E6,,,,"8,120.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
590 OXFORD ST W,0.0,168,LONDON,,,,,"79,700.34976",,,0.00000,28.43433,,,"37,947.13365","18,361.86824",FIRE HALL # 06,Fire stations and associated offices and facilities,N6H 1T9,,,,"9,666.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
1295 WEBSTER ST,0.0,168,LONDON,,,,,"73,977.99011",,,0.00000,34.33505,,,"30,115.70448","14,342.35571",FIRE HALL # 07,Fire stations and associated offices and facilities,N5V 3P8,,,,"6,594.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
1565 WESTERN RD,0.0,168,LONDON,,,,,"56,721.42515",,,0.00000,31.85475,,,"29,576.34422","14,427.17356",FIRE HALL # 08,Fire stations and associated offices and facilities,N6G 1H5,,,,"6,594.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
746 WELLINGTON RD,0.0,168,LONDON,,,,,"126,336.87871",,,0.00000,20.82612,,,"39,658.40438","18,266.79542",FIRE HALL # 09,Fire stations and associated offices and facilities,N6C 4R2,,,,"15,388.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
2125 TRAFALGAR ST,0.0,168,LONDON,,,,,"115,338.91449",,,0.00000,40.34430,,,"49,204.10654","23,551.62824",FIRE HALL # 10,Fire stations and associated offices and facilities,N5V 4Z7,,,,"9,063.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
7109 WESTMINSTER DR,0.0,168,LONDON,,,,,"99,781.11777",,,0.00000,31.68539,,,"43,716.12194","20,982.56143",FIRE HALL # 11,Fire stations and associated offices and facilities,N6P 1N4,,,,"10,187.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
275 BOLER RD,0.0,168,LONDON,,,,,"258,185.20303",,,0.00000,51.77128,,,"75,057.20476","34,162.37637",FIRE HALL # 12,Fire stations and associated offices and facilities,N6K 2J9,,,,"12,000.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
275 BOLER RD,0.0,168,LONDON,,,,,309.33666,,,0.00000,3.09337,,,12.54298,,FIRE HALL # 12-GREY BOX SEASONAL,Fire stations and associated offices and facilities,N6K 2J9,,,,100.00,Square feet,,kWh,,,,,,,,,2015
790 FANSHAWE PK RD E,0.0,168,LONDON,,,,,"27,827.20150",,,0.00000,17.38545,,,"9,786.26113","4,579.39285",FIRE HALL # 13,Fire stations and associated offices and facilities,N5X 1L5,,,,"4,400.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
2225 HYDE PARK RD,0.0,168,LONDON,,,,,"63,964.32602",,,0.00000,16.74040,,,"16,316.52706","7,258.38654",FIRE HALL # 14,Fire stations and associated offices and facilities,N6H 5K2,,,,"8,429.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
1 DUNDAS ST,0.0,168,LONDON,,,,,"34,390.56658",,,0.00000,31.88374,,,"5,259.20085","2,044.15369",FORKS OF THE THAMES MUSEUM & SPL P,Other,N6A 5L7,,,,"1,760.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
2A GROSVENOR ST,0.0,168,LONDON,,,,,"35,167.55148",,,0.00000,46.28988,,,"26,017.15333","13,006.89108",GIBBONS PARK-POOL-SPLASH PAD,Other,N6A 1Y4,,,,"3,746.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
6536 BRADISH RD,0.0,126,LONDON,,,,,"2,129.66367",,,0.00000,0.98368,,,86.35360,,GLANWORTH PARK-FIELD HOUSE,Other,N6N 1N6,,,,"2,165.00",Square feet,,kWh,,,,,,,,,2015
370 CHIPPENDALE CRES,0.0,168,LONDON,,,,,"420,367.43771",,,0.00000,34.62513,,,"123,172.29319","56,133.35382",GLEN CAIRN ARENA & POOL,Indoor ice rinks,N5Z 3G2,,,,"29,370.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
3045 GORE RD,3.58,168,LONDON,,,,,"1,621.33579",,,452.88709,0.00000,,,65.74192,,GORE RD PUMP STN,Facilities related to the pumping of sewage,N5V 4T2,,,,0.00,Square feet,,kWh,,,,,,,,,2015
5 GREENSIDE AVE,0.0,168,LONDON,,,,,121.26405,,,0.00000,0.12114,,,4.91701,,GREENWAY PARK #2,Other,N6J 2X5,,,,"1,001.00",Square feet,,kWh,,,,,,,,,2015
,40369.0,70,,,,,,"23,746,715.14581",,,,,,,,"472,145.42707",GREENWAY PCC,Facilities related to the treatment of sewage,,,,,"35,952.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
1017 WESTERN RD,0.0,126,LONDON,,,,,"48,023.80158",,,0.00000,18.37909,,,"23,549.29181","11,425.85116",GROSVENOR LODGE,Cultural facilities,N6G 1G5,,,,"9,220.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
898 TRAFALGAR ST,0.0,168,LONDON,,,,,"83,935.90134",,,0.00000,28.58710,,,"32,318.83014","15,294.07821",HAMILTON RD SENIORS CENTRE,Community centres,N5Z 1G2,,,,"8,622.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
101 DENNIS AVE,0.0,168,LONDON,,,,,744.31000,,,0.00000,0.58792,,,30.18028,,HAMLYN PARK-EQUIPMENT BLDG,Other,N6P 1B5,,,,"1,266.00",Square feet,,kWh,,,,,,,,,2015
531 RIDOUT ST N,0.0,168,LONDON,,,,,"29,154.19000",,,0.00000,36.44274,,,"1,182.14410",,HARRIS PARK,Other,N6A 2P9,,,,800.00,Square feet,,kWh,,,,,,,,,2015
32 1/2 HAMPTON CRES,50.07,168,LONDON,,,,,"11,032.30750",,,220.33768,0.00000,,,447.33800,,HAZELDON PUMP STN,Facilities related to the treatment of sewage,N6H 2N8,,,,0.00,Square feet,,kWh,,,,,,,,,2015
104 FITZWILLIAM BLVD,622.707,168,LONDON,,,,,"68,875.79185",,,110.60706,110.20127,,,"2,792.77561",,HUNT CLUB PUMP STN,Facilities related to the pumping of sewage,N6H 5H4,,,,625.00,Square feet,,kWh,,,,,,,,,2015
1099 WILLIAM ST,106.04,168,LONDON,,,,,"18,987.71814",,,179.06185,74.17077,,,769.91400,,HURON PUMP STN,Facilities related to the pumping of sewage,N5Y 2V4,,,,256.00,Square feet,,kWh,,,,,,,,,2015
1439 STAFFORDSHIRE RD,371.81,168,LONDON,,,,,"82,689.00000",,,222.65062,63.04930,,,"3,369.72473",8.91300,HYDE PARK PUMP STN,Facilities related to the pumping of sewage,N6H 5P8,,,,"1,313.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
1439 STAFFORDSHIRE RD,2895.33,168,LONDON,,,,,"167,941.00000",,,58.00410,127.90632,,,"6,809.67167",,HYDE PARK PUMP STN,Facilities related to the pumping of water,N6H 5P8,,,,"1,313.00",Square feet,,kWh,,,,,,,,,2015
331 THAMES ST,0.0,70,LONDON,,,,,"9,879.46242",,,0.00000,7.31812,,,400.59244,,IVEY PARK-PAVILLION,Other,N6A 5N8,,,,"1,350.00",Square feet,,kWh,,,,,,,,,2015
267 DUNDAS ST,0.0,168,LONDON,,,,317.36000,"269,784.21818","1,365.00000",,0.00000,20.81839,,,"62,780.45200","17,466.34231",J ALLAN TAYLOR BLDG,"Administrative offices and related facilities, including municipal council chambers",N6A 1H2,,No,,"26,110.00",Square feet,,kWh,Cubic Meter,,,,,,Giga Joule,,2015
731 VISCOUNT RD,0.0,126,LONDON,,,,,"1,740.02683",,,0.00000,3.48005,,,70.55461,,JESSE DAVIDSON PARK 1-2 SPL PAD,Other,N6J 4G9,,,,500.00,Square feet,,kWh,,,,,,,,,2015
20 GRANVILLE ST,0.0,168,LONDON,,,,,"1,077,800.35901",,,0.00000,40.15541,,,"255,714.80054","112,138.54006",KINSMEN ARENA SPLASH PAD,Indoor ice rinks,N6H 1J3,,,,"56,520.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
612 HALE ST,0.0,126,LONDON,,,,,"6,412.53026",,,0.00000,5.11774,,,260.01528,,KIWANIS PARK PAVILLION SPL PAD,Other,N5W 1H4,,,,"1,253.00",Square feet,,kWh,,,,,,,,,2015
78 RIVERSIDE DR,0.0,168,LONDON,,,,,"248,800.41542",,,0.00000,28.15280,,,"51,969.74794","22,152.11604",KIWANIS SENIOR CENTRE,Community centres,N6H 1B4,,,,"17,200.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
