Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Comments
FIRE HALL # 03,Fire stations and associated offices and facilities,550 COMMISSIONERS RD W,LONDON,N6K 1B7,"8,052.00",Square feet,168,,"88,513.42556",kWh,"19,933.79896",Cubic Meter,,,,,,,,,,,,,,,,,,,"41,228.88919",37.30320,0.00000,
FIRE HALL # 04,Fire stations and associated offices and facilities,807 COLBORNE ST,LONDON,N6A 3Z8,"4,418.00",Square feet,168,,"70,294.47366",kWh,"8,204.30207",Cubic Meter,,,,,,,,,,,,,,,,,,,"18,323.82719",35.64689,0.00000,
FIRE HALL # 05,Fire stations and associated offices and facilities,751 DEVERON CRES,LONDON,N5Z 5E6,"8,120.00",Square feet,168,,"92,414.94548",kWh,"14,171.03515",Cubic Meter,,,,,,,,,,,,,,,,,,,"30,489.75605",29.92876,0.00000,
FIRE HALL # 06,Fire stations and associated offices and facilities,590 OXFORD ST W,LONDON,N6H 1T9,"9,666.00",Square feet,168,,"84,813.27009",kWh,"18,910.94515",Cubic Meter,,,,,,,,,,,,,,,,,,,"39,147.00725",29.56700,0.00000,
FIRE HALL # 07,Fire stations and associated offices and facilities,1295 WEBSTER ST,LONDON,N5V 3P8,"6,594.00",Square feet,168,,"79,533.72080",kWh,"18,241.41494",Cubic Meter,,,,,,,,,,,,,,,,,,,"37,669.93531",41.46185,0.00000,
FIRE HALL # 08,Fire stations and associated offices and facilities,1565 WESTERN RD,LONDON,N6G 1H5,"6,594.00",Square feet,168,,"64,875.34532",kWh,"18,236.51417",Cubic Meter,,,,,,,,,,,,,,,,,,,"37,074.17351",39.23096,0.00000,
FIRE HALL # 09,Fire stations and associated offices and facilities,746 WELLINGTON RD,LONDON,N6C 4R2,"15,388.00",Square feet,168,,"143,365.12213",kWh,"21,936.31727",Cubic Meter,,,,,,,,,,,,,,,,,,,"47,209.57562",24.46708,0.00000,
FIRE HALL # 10,Fire stations and associated offices and facilities,2125 TRAFALGAR ST,LONDON,N5V 4Z7,"9,063.00",Square feet,168,,"113,589.75379",kWh,"24,002.26621",Cubic Meter,,,,,,,,,,,,,,,,,,,"49,924.17219",40.67974,0.00000,
FIRE HALL # 11,Fire stations and associated offices and facilities,7109 WESTMINSTER DR,LONDON,N6P 1N4,"10,187.00",Square feet,168,,"88,567.13320",kWh,"23,568.92526",Cubic Meter,,,,,,,,,,,,,,,,,,,"48,103.70603",33.28285,0.00000,
FIRE HALL # 12,Fire stations and associated offices and facilities,275 BOLER RD,LONDON,N6K 2J9,"12,000.00",Square feet,168,,"262,563.89888",kWh,"45,054.85538",Cubic Meter,,,,,,,,,,,,,,,,,,,"95,687.37022",61.78307,0.00000,
FIRE HALL # 12-GREY BOX SEASONAL,Fire stations and associated offices and facilities,275 BOLER RD,LONDON,N6K 2J9,100.00,Square feet,168,,137.96006,kWh,,,,,,,,,,,,,,,,,,,,,5.51992,1.37960,0.00000,
