Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Comments,lat,lng
COLBORNE BUILDING (OLD SOUTH ST HOSPITAL),Other,391 SOUTH STREET,LONDON,N6B 1B8,0.0,Square feet,168,0.0,0.25,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.01014,1e-05,0.0,,42.9767577363636,-81.2352473181818
CRESTWOOD PUMP STN,Facilities related to the pumping of water,999 GABOR ST,LONDON,N6K4V5,0.0,Square feet,168,71.19,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,717.22515,0.0,248.46606,,42.942486834615394,-81.31131049615391
DEARNESS HOME,Other,710 SOUTHDALE RD E,LONDON,N6E 1R8,0.0,Square feet,168,0.0,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,20.05978,0.0,,42.9438044,-81.225001
DEARNESS NG TRANSP,Other,710 SOUTHDALE RD E,LONDON,N6E 1R8,0.0,Square feet,168,0.0,0.0,,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,34.3651,0.0,,42.9438044,-81.225001
DINGMAN CREEK PUMP STN,Facilities related to the pumping of sewage,3506 DINGMAN DR,LONDON,N6E 3X1,0.0,,126,0.14,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,42.912729247292795,-81.2268277997608
EAST LIONS ARTISANS CC  & POOL,Community centres,1731 CHURCHILL AVE,LONDON,N5W 5P4,0.0,Square feet,126,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,62.87288,0.0,,42.9997093,-81.1765764
EAST LIONS PARK-POOL,Other,1731 CHURCHILL AVE,LONDON,N5W 5P4,0.0,Square feet,168,0.0,12.93068,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.52431,0.00349,0.0,,42.9997093,-81.1765764
EAST PARK PUMP STN,Facilities related to the pumping of sewage,1313 HAMILTON RD,LONDON,N5W 1B1,0.0,Square feet,168,496.03,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,36.168409999999994,170.62291000000005,,42.96536,-81.14412349999998
ED BLAKE PK,Other,449 BARKER ST,LONDON,N5Y 5B2,0.0,Square feet,60,0.0,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,457.55673,10.7984,0.0,,43.0129783,-81.2303172
ENVIRO PROGS - RENTAL,"Administrative offices and related facilities, including municipal council chambers","520 WELLINGTON ST UN 1,2,3",LONDON,N6A 3R2,0.0,Square feet,126,0.0,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,9.45525,0.0,,,
EP WILLIAMS ESTATE,Cultural facilities,101 WINDERMERE RD,LONDON,N6G 2J4,0.0,Square feet,168,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,13.693370000000002,0.0,,43.012026,-81.291877
EUSTON ST FAN HOUSE PUMP STN,Facilities related to the pumping of sewage,157 WINSTON AVE,LONDON,N6J 1R7,520.0,Square feet,126,8.53,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,89.26423,0.0,,42.9630901,-81.2673179
EXETER RD OC,"Storage facilities where equipment or vehicles are maintained, repaired or stored",707 EXETER RD,LONDON,N6E 1L3,0.0,Square feet,168,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,24.8861,0.0,,42.9253976,-81.22104990000003
FANSHAWE GOLF COURSE-MAIN CLUBHOUSE,Other,2835 SUNNINGDALE RD E,LONDON,N5X 3Y7,0.0,Square feet,168,0.0,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,21.498739999999998,0.0,,,
FANSHAWE GOLF COURSE-MTCE BLDG,Other,2835 SUNNINGDALE RD E,LONDON,N5X 3Y7,0.0,Square feet,168,0.0,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,14.877670000000002,0.0,,,
FANSHAWE GOLF COURSE-PARKSIDE NINE,Other,2835 SUNNINGDALE RD E,LONDON,N5X 3Y7,0.0,Square feet,168,0.0,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,82.90149,1.1616600000000001,0.0,,,
FANSHAWE GOLF COURSE-SPREADER PUMP ,Other,2835 SUNNINGDALE RD E,LONDON,N5X 3Y7,0.0,Square feet,168,0.0,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,20.76129,0.0,,,
FANSHAWE WELLS,Facilities related to the pumping of water,2835 CLARKE RD,LONDON,N5X 3Y7,0.0,Square feet,126,1.1,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,43.041672,-81.1945997
