Address,Annual Flow,Average Hours Per Week,City,Coal,Comments,District Cool,District Heat,Electricity,Emission Factor1,Emission Factor2,Energy Intensity (ekWh/Mega Litres),Energy Intensity (ekWh/sqft),Fuel Oil 1 & 2,Fuel Oil 4 & 6,GHG Emissions (Kg),Natural Gas,Notes,Operation Name,Operation Type,Postal Code,Propane,Renewable1,Renewable2,Total Floor Area,Unit1,Unit10,Unit2,Unit3,Unit4,Unit5,Unit6,Unit7,Unit8,Unit9,Wood,full_address,geocode,lat,lng,year
625 SPRINGBANK DR,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,67.26177,0.0,0.0,0.0,0.0,,CIVIC GARDEN COMPLEX,Community centres,N6K 4T1,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.9625799714286,-81.2954907035714,2015
479 CLARKE RD,1465.95,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,168.97624,81.48379,0.0,0.0,0.0,0.0,,CLARKE RD PUMP STN,Facilities related to the pumping of sewage,N5W 6H1,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,43.041672,-81.1945997,2015
75 HORTON ST,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,91.63446,0.0,0.0,0.0,0.0,,COAL TAR,Other,N6J 1E8,0.0,0.0,0.0,300.0,Square feet,,kWh,,,,,,,,0.0,,,,,2015
391 SOUTH STREET,0.0,168,LONDON,0.0,,0.0,0.0,0.25,0.0,0.0,0.0,1e-05,0.0,0.0,0.01014,0.0,,COLBORNE BUILDING (OLD SOUTH ST HOSPITAL),Other,N6B 1B8,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,42.9767577363636,-81.2352473181818,2015
999 GABOR ST,71.19,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,248.46606,0.0,0.0,0.0,717.22515,0.0,,CRESTWOOD PUMP STN,Facilities related to the pumping of water,N6K4V5,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,42.942486834615394,-81.31131049615391,2015
710 SOUTHDALE RD E,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,20.05978,0.0,0.0,0.0,0.0,,DEARNESS HOME,Other,N6E 1R8,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,42.9438044,-81.225001,2015
710 SOUTHDALE RD E,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,34.3651,0.0,0.0,0.0,0.0,,DEARNESS NG TRANSP,Other,N6E 1R8,0.0,0.0,0.0,0.0,Square feet,,,Cubic Meter,,,,,,,0.0,,,42.9438044,-81.225001,2015
3506 DINGMAN DR,0.14,126,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,DINGMAN CREEK PUMP STN,Facilities related to the pumping of sewage,N6E 3X1,0.0,0.0,0.0,0.0,,,kWh,,,,,,,,0.0,,,42.912729247292795,-81.2268277997608,2015
1731 CHURCHILL AVE,0.0,126,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,62.87288,0.0,0.0,0.0,0.0,,EAST LIONS ARTISANS CC  & POOL,Community centres,N5W 5P4,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.9997093,-81.1765764,2015
1731 CHURCHILL AVE,0.0,168,LONDON,0.0,,0.0,0.0,12.93068,0.0,0.0,0.0,0.00349,0.0,0.0,0.52431,0.0,,EAST LIONS PARK-POOL,Other,N5W 5P4,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,42.9997093,-81.1765764,2015
1313 HAMILTON RD,496.03,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,170.62291000000005,36.168409999999994,0.0,0.0,0.0,0.0,,EAST PARK PUMP STN,Facilities related to the pumping of sewage,N5W 1B1,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,42.96536,-81.14412349999998,2015
449 BARKER ST,0.0,60,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.7984,0.0,0.0,457.55673,0.0,,ED BLAKE PK,Other,N5Y 5B2,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,43.0129783,-81.2303172,2015
"520 WELLINGTON ST UN 1,2,3",0.0,126,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.45525,0.0,0.0,0.0,0.0,,ENVIRO PROGS - RENTAL,"Administrative offices and related facilities, including municipal council chambers",N6A 3R2,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,,,2015
101 WINDERMERE RD,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.693370000000002,0.0,0.0,0.0,0.0,,EP WILLIAMS ESTATE,Cultural facilities,N6G 2J4,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,43.012026,-81.291877,2015
157 WINSTON AVE,8.53,126,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,89.26423,0.0,0.0,0.0,0.0,,EUSTON ST FAN HOUSE PUMP STN,Facilities related to the pumping of sewage,N6J 1R7,0.0,0.0,0.0,520.0,Square feet,,kWh,,,,,,,,0.0,,,42.9630901,-81.2673179,2015
707 EXETER RD,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,24.8861,0.0,0.0,0.0,0.0,,EXETER RD OC,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N6E 1L3,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.9253976,-81.22104990000003,2015
