Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Notes,full_address,geocode,lat,lng
ENVIRO PROGS - RENTAL,"Administrative offices and related facilities, including municipal council chambers",520 WELLINGTON ST 11/12,London,N6A 4L9,"2,819.00",Square feet,60,,"33,478.46",kWh,,,,,,,,,,,,,,,,,,,,,"2,678.27680",11.87601,,,"520 WELLINGTON ST 11/12, London Ontario",,,
EP WILLIAMS ESATE,Cultural facilities,101 WINDERMERE RD,London,N6G 2J4,"9,330.00",Square feet,126,,"18,931.89",kWh,"13,682.59",Cubic meter,,,,,,,,,,,,,,,,,,,"27,383.22528",17.61494,,,"101 WINDERMERE RD, London Ontario","{""lat"": 43.012026, ""lng"": -81.291877, ""boundingbox"": [""43.011976"", ""43.012076"", ""-81.291927"", ""-81.291827""]}",43.012026,-81.291877
EXETER RD OC,"Storage facilities where equipment or vehicles are maintained, repaired or stored",707 EXETER RD,London,N6E 1L3,"57,100.00",Square feet,126,,"716,971.91",kWh,"65,757.43",Cubic meter,,,,,,,,,,,,,,,,,,,"181,680.52541",24.79557,,,"707 EXETER RD, London Ontario","{""lat"": 42.9253976, ""lng"": -81.2210499, ""boundingbox"": [""42.9253476"", ""42.9254476"", ""-81.2210999"", ""-81.2209999""]}",42.9253976,-81.2210499
FANSHAWE WELLS,Facilities related to the pumping of water,2835 CLARKE RD,London,N5X 3Y7,0.00,Square feet,168,2.612,"87,605.23",kWh,,,,,,,,,,,,,,,,,,,,,"7,008.41840",,"33,539.52144","6 Wells, 6 Pumps each individually metered","2835 CLARKE RD, London Ontario","{""lat"": 43.041672, ""lng"": -81.1945997, ""boundingbox"": [""43.0412473"", ""43.0422883"", ""-81.1949156"", ""-81.1943904""]}",43.041672,-81.1945997
FARQUHARSON ARENA,Indoor ice rinks,411 TECUMSEH AVE E,London,N6C 1T4,"38,573.00",Square feet,126,,"818,467.56",kWh,"39,655.57",Cubic meter,,,,,,,,,,,,,,,,,,,"140,451.29614",32.14472,,,"411 TECUMSEH AVE E, London Ontario","{""lat"": 42.96961294, ""lng"": -81.241548645, ""boundingbox"": [""42.96956294"", ""42.96966294"", ""-81.241598645"", ""-81.241498645""]}",42.96961294,-81.241548645
FIRE HALL # 01,Fire stations and associated offices and facilities,400 HORTON ST E,London,N6B 1L7,"32,937.00",Square feet,168,,"440,675.43",kWh,"51,191.03",Cubic meter,,,,,,,,,,,,,,,,,,,"132,037.17788",29.89715,,,"400 HORTON ST E, London Ontario","{""lat"": 42.9817872, ""lng"": -81.2375347, ""boundingbox"": [""42.9817372"", ""42.9818372"", ""-81.2375847"", ""-81.2374847""]}",42.9817872,-81.2375347
FIRE HALL # 02,Fire stations and associated offices and facilities,1103 FLORENCE ST,London,N5W 2M7,"24,700.00",Square feet,168,,"400,579.96",kWh,"46,691.90",Cubic meter,,,,,,,,,,,,,,,,,,,"120,323.36362",36.30814,,,"1103 FLORENCE ST, London Ontario","{""lat"": 42.9906552, ""lng"": -81.212471, ""boundingbox"": [""42.9906052"", ""42.9907052"", ""-81.212521"", ""-81.212421""]}",42.9906552,-81.212471
FIRE HALL # 03,Fire stations and associated offices and facilities,550 COMMISSIONERS RD W,London,N6K 1B7,"8,052.00",Square feet,168,,"79,044.91",kWh,"19,158.42",Cubic meter,,,,,,,,,,,,,,,,,,,"42,545.01893",35.10387,,,"550 COMMISSIONERS RD W, London Ontario","{""lat"": 42.9538022285714, ""lng"": -81.2918504857143, ""boundingbox"": [""42.953752228571"", ""42.953852228571"", ""-81.291900485714"", ""-81.291800485714""]}",42.9538022285714,-81.2918504857143
FIRE HALL # 04,Fire stations and associated offices and facilities,807 COLBORNE ST,London,N6A 3Z8,"4,418.00",Square feet,168,,"71,344.33",kWh,"6,760.92",Cubic meter,,,,,,,,,,,,,,,,,,,"18,489.92430",32.41238,,,"807 COLBORNE ST, London Ontario","{""lat"": 42.999574, ""lng"": -81.2466024, ""boundingbox"": [""42.999524"", ""42.999624"", ""-81.2466524"", ""-81.2465524""]}",42.999574,-81.2466024
FIRE HALL # 05,Fire stations and associated offices and facilities,751 DEVERON CRES,London,N5Z 5E6,"8,120.00",Square feet,168,,"72,700.64",kWh,"15,742.65",Cubic meter,,,,,,,,,,,,,,,,,,,"35,579.53034",29.55788,,,"751 DEVERON CRES, London Ontario","{""lat"": 42.9630559, ""lng"": -81.19554, ""boundingbox"": [""42.9630059"", ""42.9631059"", ""-81.19559"", ""-81.19549""]}",42.9630559,-81.19554
FIRE HALL # 06,Fire stations and associated offices and facilities,590 OXFORD ST W,London,N6H 1T9,"9,666.00",Square feet,168,,"76,027.33",kWh,"15,877.38",Cubic meter,,,,,,,,,,,,,,,,,,,"36,100.38972",25.32263,,,"590 OXFORD ST W, London Ontario","{""lat"": 42.9834988, ""lng"": -81.2933117666667, ""boundingbox"": [""42.9834488"", ""42.9835488"", ""-81.293361766667"", ""-81.293261766667""]}",42.9834988,-81.2933117666667
FIRE HALL # 07,Fire stations and associated offices and facilities,1192 HIGHBURY AVE,London,N5Y 1A7,"6,594.00",Square feet,168,,"48,790.11",kWh,"14,342.13",Cubic meter,,,,,,,,,,,,,,,,,,,"31,018.82702",30.51487,,,"1192 HIGHBURY AVE, London Ontario","{""lat"": 42.9721995, ""lng"": -81.1918055, ""boundingbox"": [""42.9721995"", ""42.9729133"", ""-81.1919623"", ""-81.1918055""]}",42.9721995,-81.1918055
FIRE HALL # 08,Fire stations and associated offices and facilities,1565 WESTERN RD,London,N6G 1H5,"6,594.00",Square feet,168,,"60,420.10",kWh,"15,495.68",Cubic meter,,,,,,,,,,,,,,,,,,,"34,130.15899",34.137809999999995,,,"1565 WESTERN RD, London Ontario","{""lat"": 43.020373, ""lng"": -81.279351, ""boundingbox"": [""43.020323"", ""43.020423"", ""-81.279401"", ""-81.279301""]}",43.020373,-81.279351
FIRE HALL # 09,Fire stations and associated offices and facilities,746 WELLINGTON RD,London,N6C 4R2,"15,388.00",Square feet,168,,"146,225.63",kWh,"22,307.52",Cubic meter,,,,,,,,,,,,,,,,,,,"53,873.25002",24.90934,,,"746 WELLINGTON RD, London Ontario","{""lat"": 42.9480627811452, ""lng"": -81.2276573037506, ""boundingbox"": [""42.948012781145"", ""42.948112781145"", ""-81.227707303751"", ""-81.227607303751""]}",42.9480627811452,-81.2276573037506
FIRE HALL # 10,Fire stations and associated offices and facilities,2125 TRAFALGAR ST,London,N5V 4Z7,"9,063.00",Square feet,168,,"85,080.04",kWh,"18,947.54",Cubic meter,,,,,,,,,,,,,,,,,,,"42,629.13391",31.60656,,,"2125 TRAFALGAR ST, London Ontario","{""lat"": 42.9829737, ""lng"": -81.2031709, ""boundingbox"": [""42.9819521"", ""42.9841859"", ""-81.2068133"", ""-81.1990368""]}",42.9829737,-81.2031709
FIRE HALL # 11,Fire stations and associated offices and facilities,7109 WESTMINSTER DR,London,N6P 1N4,"10,187.00",Square feet,168,,"84,038.09",kWh,"22,181.18",Cubic meter,,,,,,,,,,,,,,,,,,,"48,659.38500",31.39047,,,"7109 WESTMINSTER DR, London Ontario","{""lat"": 42.8982734, ""lng"": -81.2387878, ""boundingbox"": [""42.8978019"", ""42.8982734"", ""-81.2387878"", ""-81.2377166""]}",42.8982734,-81.2387878
